RPM,WOB,ROP,Depth,Claystone,Sandstone,Limestone,TRQ
159.0,1.06594207,15.313152,2715.454056,1.0,0.0,0.0,5.24701546
159.0,1.97312681,19.55292,2720.349144,1.0,0.0,0.0,6.467251614
150.0,1.748598586,7.7684376,2361.839726,1.0,0.0,0.0,3.294637614
151.0,1.065488477,29.821632,2463.131472,1.0,0.0,0.0,4.026779307
160.0,6.006016571,11.0837472,2898.409912,0.0,1.0,0.0,5.369039075
160.0,3.528948639,34.795968,2822.929584,0.0,1.0,0.0,8.785700305
159.0,0.226796185,20.092416,2677.061448,1.0,0.0,0.0,3.294637614
159.0,6.255038782,33.838896,2776.737144,1.0,0.0,0.0,7.931534998
158.0,6.473670305,4.3629072,2926.770372,0.0,1.0,0.0,7.565464152
160.0,2.875775626,29.91612,2810.384016,1.0,0.0,0.0,6.101180767
159.0,1.746330625,12.35964,2709.772584,1.0,0.0,0.0,6.467251614
149.0,2.194933478,10.4064816,2602.379047,1.0,0.0,0.0,5.491062691
159.0,7.17129537,19.458432,2739.652128,1.0,0.0,0.0,5.24701546
159.0,5.225384102,19.812,2725.73496,1.0,0.0,0.0,7.565464152
159.0,3.855535145,19.802856,2652.058704,1.0,0.0,0.0,6.711298844
159.0,0.90718474,20.10156,2675.253984,1.0,0.0,0.0,4.026779307
160.0,5.125593781,37.615368,2781.013488,1.0,0.0,0.0,7.07736969
160.0,4.209337194,30.166056,2839.239432,0.0,1.0,0.0,9.517841997
149.0,2.881218734,29.8752768,2529.649902,1.0,0.0,0.0,5.24701546
160.0,5.121057857,43.065192,2784.21084,1.0,0.0,0.0,6.83332246
159.0,0.15875733,21.726144,2695.821888,1.0,0.0,0.0,4.270826537
150.0,1.52724551,44.2118496,2301.259507,1.0,0.0,0.0,4.514873768
159.0,2.26796185,19.821144,2655.987576,1.0,0.0,0.0,5.369039075
150.0,2.336000706,40.2348192,2183.530507,1.0,0.0,0.0,3.66070846
159.0,1.292738255,20.54352,2698.83636,1.0,0.0,0.0,5.857133537
159.0,2.422183256,29.06268,2703.441888,1.0,0.0,0.0,7.199393306
159.0,3.17514659,20.232624,2663.528328,1.0,0.0,0.0,6.589275229
159.0,2.72155422,19.824192,2655.426744,1.0,0.0,0.0,5.979157152
159.0,3.855535145,19.802856,2651.92764,1.0,0.0,0.0,6.83332246
160.0,1.487782974,21.058632,2803.026144,0.0,1.0,0.0,1.342259769
160.0,4.672001411,42.044112,2783.564664,1.0,0.0,0.0,6.83332246
159.0,2.494758035,19.787616,2658.773448,1.0,0.0,0.0,6.223204383
160.0,3.982541009,30.169104,2839.464984,0.0,1.0,0.0,9.395818382
160.0,4.213873117,30.537912,2767.303584,1.0,0.0,0.0,6.467251614
149.0,1.065488477,20.415504,2429.360107,1.0,0.0,0.0,3.050590384
149.0,1.976301956,45.2777352,2354.17614,1.0,0.0,0.0,5.369039075
160.0,7.842612077,14.953488,2803.760712,0.0,1.0,0.0,6.589275229
160.0,3.991612856,15.733776,2748.24444,1.0,0.0,0.0,4.880944614
159.0,4.218409041,23.039832,2732.727072,1.0,0.0,0.0,5.24701546
160.0,3.987076932,34.811208,2821.393392,0.0,1.0,0.0,5.979157152
159.0,0.385553515,14.999208,2713.030896,1.0,0.0,0.0,5.24701546
160.0,5.801446412,24.554688,2795.88468,0.0,1.0,0.0,9.395818382
160.0,5.121057857,31.793688,2791.84608,0.0,1.0,0.0,10.86010177
159.0,0.839145885,15.288768,2721.486048,1.0,0.0,0.0,4.758920999
159.0,1.51953444,22.38756,2701.003488,1.0,0.0,0.0,5.979157152
159.0,0.90718474,20.10156,2674.936992,1.0,0.0,0.0,4.514873768
160.0,3.74939453,29.9127672,2850.341162,0.0,1.0,0.0,7.321416921
160.0,5.125593781,30.656784,2791.074936,0.0,1.0,0.0,10.61605454
150.0,2.337361483,38.3246376,2189.530029,1.0,0.0,0.0,3.66070846
159.0,1.061406146,14.526768,2707.681656,1.0,0.0,0.0,5.613086306
160.0,2.652154587,29.6719752,2637.0,1.0,0.0,0.0,6.83332246
159.0,2.948350405,20.128992,2668.383792,1.0,0.0,0.0,6.345227998
160.0,10.32784467,2.3814024,2924.41945,0.0,1.0,0.0,8.297605844
159.0,2.72155422,20.461224,2663.842272,1.0,0.0,0.0,6.223204383
160.0,3.075356269,30.15996,2832.680136,0.0,1.0,0.0,7.565464152
160.0,4.676537335,31.251144,2756.617296,1.0,0.0,0.0,6.467251614
159.0,6.155248461,12.640056,2723.165496,1.0,0.0,0.0,5.002968229
